docId,push_body,reference_id,target_user_uids,created_by_uid,trigger_source,created_at,type,title,body,created_by_name,publish_at,expires_at,delivery_count_email_sent,updated_at,context_type,target_user_uid,review_status,published_at,delivery_count_push_failed,delivery_count_total,short_message,delivery_count_in_app,send_push,reviewed_at,target_type,send_email,requires_review,notification_id,priority,reference_type,notification_layer,send_in_app,email_body,push_title,delivery_count_push_sent,context_id,reviewed_by_uid,email_subject,delivery_count_email_failed,status,notification_type,message,target_uid,target_role,target_employee_number,related_entity_type,related_entity_id,is_read,is_active,is_visible,read_at,show_popup_on_publish
fNAJuIaEw1h9Fv2HdniE,Your breakfast booking for 08-04-2026 has been issued.,uVHCQVSeAkcOiRs0KLue,"[""NdvyiXDrYihgtbmaWFH8JDkPbkA2""]",,meal_issuance_service,"{""_seconds"":1775644527,""_nanoseconds"":395603000}",meal_issued,Meal Issued,Your breakfast booking for 08-04-2026 has been issued.,,"{""_seconds"":1775644527,""_nanoseconds"":395603000}",,0,"{""_seconds"":1775644527,""_nanoseconds"":395603000}",meal_issuance,NdvyiXDrYihgtbmaWFH8JDkPbkA2,not_required,"{""_seconds"":1775644527,""_nanoseconds"":395603000}",0,1,Meal Issued,1,true,,single_user,true,false,fNAJuIaEw1h9Fv2HdniE,normal,meal_issuance,transactional,true,Your breakfast booking for 08-04-2026 has been issued.,Meal Issued,0,uVHCQVSeAkcOiRs0KLue,,Meal Issued,0,completed,,,,,,,,,,,,
iLWYG5NcQ6R4uU1PRDyX,Your breakfast booking for 07-04-2026 has been issued.,YW7xQw31u3ayflpXFgdT,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,meal_issuance_service,"{""_seconds"":1775589629,""_nanoseconds"":708838000}",meal_issued,Meal Issued,Your breakfast booking for 07-04-2026 has been issued.,,"{""_seconds"":1775589629,""_nanoseconds"":708838000}",,0,"{""_seconds"":1775589629,""_nanoseconds"":708838000}",meal_issuance,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589629,""_nanoseconds"":708838000}",0,1,Meal Issued,1,true,,single_user,true,false,iLWYG5NcQ6R4uU1PRDyX,normal,meal_issuance,transactional,true,Your breakfast booking for 07-04-2026 has been issued.,Meal Issued,0,YW7xQw31u3ayflpXFgdT,,Meal Issued,0,completed,,,,,,,,,,,,
ipPoSQGYd1KOVYCUcTF6,Your breakfast booking for 08-04-2026 has been issued.,OzxtHFz8mSfKmlSfbtru,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,meal_issuance_service,"{""_seconds"":1775573905,""_nanoseconds"":183130000}",meal_issued,Meal Issued,Your breakfast booking for 08-04-2026 has been issued.,,"{""_seconds"":1775573905,""_nanoseconds"":183130000}",,0,"{""_seconds"":1775573905,""_nanoseconds"":183130000}",meal_issuance,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775573905,""_nanoseconds"":183130000}",0,1,Meal Issued,1,true,,single_user,true,false,ipPoSQGYd1KOVYCUcTF6,normal,meal_issuance,transactional,true,Your breakfast booking for 08-04-2026 has been issued.,Meal Issued,0,OzxtHFz8mSfKmlSfbtru,,Meal Issued,0,completed,,,,,,,,,,,,
jERnOrolSAovl7TKehcm,Your lunch booking for 08-04-2026 has been confirmed.,RrA6r31UZqk1501YKnYw,"[""Iggwq4MHI4X98HM5scjf3GSvKaq1""]",,reservation_service,"{""_seconds"":1775573475,""_nanoseconds"":659370000}",meal_booking_confirmed,Meal Booking Confirmed,Your lunch booking for 08-04-2026 has been confirmed.,,"{""_seconds"":1775573475,""_nanoseconds"":659370000}",,0,"{""_seconds"":1775573475,""_nanoseconds"":659370000}",reservation,Iggwq4MHI4X98HM5scjf3GSvKaq1,not_required,"{""_seconds"":1775573475,""_nanoseconds"":659370000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,jERnOrolSAovl7TKehcm,normal,reservation,transactional,true,Your lunch booking for 08-04-2026 has been confirmed.,Meal Booking Confirmed,0,RrA6r31UZqk1501YKnYw,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
jtGCuWM9169uRidCv6SD,Your dinner booking for 08-04-2026 has been confirmed.,MMowShbIKHJAlnoOn7z3,"[""KgCIhSVUV8gLIR4XRFEH0xNPyJA2""]",,reservation_service,"{""_seconds"":1775627255,""_nanoseconds"":198401000}",meal_booking_confirmed,Meal Booking Confirmed,Your dinner booking for 08-04-2026 has been confirmed.,,"{""_seconds"":1775627255,""_nanoseconds"":198401000}",,0,"{""_seconds"":1775627255,""_nanoseconds"":198401000}",reservation,KgCIhSVUV8gLIR4XRFEH0xNPyJA2,not_required,"{""_seconds"":1775627255,""_nanoseconds"":198401000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,jtGCuWM9169uRidCv6SD,normal,reservation,transactional,true,Your dinner booking for 08-04-2026 has been confirmed.,Meal Booking Confirmed,0,MMowShbIKHJAlnoOn7z3,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
kCGiAg4fUg3mk2BFDTYz,,,,,,,,Meal Booking Confirmed,,,,,,,,,,,,,,,,,,,,kCGiAg4fUg3mk2BFDTYz,,,,,,,,,,,,,meal_booking_confirmed,Your lunch booking for 27-03-2026 has been confirmed.,,,,,,true,true,true,,
mL0a8srg9WTKbw5GiP0b,Your dinner booking for 07-04-2026 has been issued.,xNRaPIw0bQBAO0WDvHkU,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,meal_issuance_service,"{""_seconds"":1775589666,""_nanoseconds"":505932000}",meal_issued,Meal Issued,Your dinner booking for 07-04-2026 has been issued.,,"{""_seconds"":1775589666,""_nanoseconds"":505932000}",,0,"{""_seconds"":1775589666,""_nanoseconds"":505932000}",meal_issuance,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589666,""_nanoseconds"":505932000}",0,1,Meal Issued,1,true,,single_user,true,false,mL0a8srg9WTKbw5GiP0b,normal,meal_issuance,transactional,true,Your dinner booking for 07-04-2026 has been issued.,Meal Issued,0,xNRaPIw0bQBAO0WDvHkU,,Meal Issued,0,completed,,,,,,,,,,,,
nXSNoEkU02kMir6dVGZj,Your lunch booking for 07-04-2026 has been issued.,Blgrt4NhDwdrVz9Vf2tk,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,meal_issuance_service,"{""_seconds"":1775589656,""_nanoseconds"":843222000}",meal_issued,Meal Issued,Your lunch booking for 07-04-2026 has been issued.,,"{""_seconds"":1775589656,""_nanoseconds"":843222000}",,0,"{""_seconds"":1775589656,""_nanoseconds"":843222000}",meal_issuance,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589656,""_nanoseconds"":843222000}",0,1,Meal Issued,1,true,,single_user,true,false,nXSNoEkU02kMir6dVGZj,normal,meal_issuance,transactional,true,Your lunch booking for 07-04-2026 has been issued.,Meal Issued,0,Blgrt4NhDwdrVz9Vf2tk,,Meal Issued,0,completed,,,,,,,,,,,,
notif_test_001,,,,,,,,New Menu Item Added,,,,,,,,,,,,,,,,,,,,notif_test_001,,,,,,,,,,,,,menu_item_announcement,,,,,,,true,true,true,,
odBErrl6gUHRTMJc4u7J,Your breakfast booking for 08-04-2026 has been confirmed.,Q6ltTw0uQoIGUTy01eW6,"[""NdvyiXDrYihgtbmaWFH8JDkPbkA2""]",,reservation_service,"{""_seconds"":1775589332,""_nanoseconds"":783735000}",meal_booking_confirmed,Meal Booking Confirmed,Your breakfast booking for 08-04-2026 has been confirmed.,,"{""_seconds"":1775589332,""_nanoseconds"":783735000}",,0,"{""_seconds"":1775589332,""_nanoseconds"":783735000}",reservation,NdvyiXDrYihgtbmaWFH8JDkPbkA2,not_required,"{""_seconds"":1775589332,""_nanoseconds"":783735000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,odBErrl6gUHRTMJc4u7J,normal,reservation,transactional,true,Your breakfast booking for 08-04-2026 has been confirmed.,Meal Booking Confirmed,0,Q6ltTw0uQoIGUTy01eW6,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
px7xvoYrQTt3D5hZhAg6,,,,,,,,Meal Booking Confirmed,,,,,,,,,,,,,,,,,,,,px7xvoYrQTt3D5hZhAg6,,,,,,,,,,,,,meal_booking_confirmed,Your dinner booking for 27-03-2026 has been confirmed.,,,,,,true,true,true,,
qxg3c3BMduxKtNT4et5O,Your dinner booking for 07-04-2026 has been confirmed.,lKoClXM055TZmTQ6g5GN,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,reservation_service,"{""_seconds"":1775589510,""_nanoseconds"":30033000}",meal_booking_confirmed,Meal Booking Confirmed,Your dinner booking for 07-04-2026 has been confirmed.,,"{""_seconds"":1775589510,""_nanoseconds"":30033000}",,0,"{""_seconds"":1775589510,""_nanoseconds"":30033000}",reservation,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589510,""_nanoseconds"":30033000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,qxg3c3BMduxKtNT4et5O,normal,reservation,transactional,true,Your dinner booking for 07-04-2026 has been confirmed.,Meal Booking Confirmed,0,lKoClXM055TZmTQ6g5GN,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
rIUR0mXRc8MJ2E3E8dZk,Your breakfast booking for 07-04-2026 has been confirmed.,ONKPwImuy3tTEFcXuN1o,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,reservation_service,"{""_seconds"":1775589530,""_nanoseconds"":720479000}",meal_booking_confirmed,Meal Booking Confirmed,Your breakfast booking for 07-04-2026 has been confirmed.,,"{""_seconds"":1775589530,""_nanoseconds"":720479000}",,0,"{""_seconds"":1775589530,""_nanoseconds"":720479000}",reservation,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589530,""_nanoseconds"":720479000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,rIUR0mXRc8MJ2E3E8dZk,normal,reservation,transactional,true,Your breakfast booking for 07-04-2026 has been confirmed.,Meal Booking Confirmed,0,ONKPwImuy3tTEFcXuN1o,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
ucvATmJ4286FCgLmvkss,Your lunch booking for 07-04-2026 has been issued.,elbQwqG8283nYE8mItW7,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,meal_issuance_service,"{""_seconds"":1775589648,""_nanoseconds"":410202000}",meal_issued,Meal Issued,Your lunch booking for 07-04-2026 has been issued.,,"{""_seconds"":1775589648,""_nanoseconds"":410202000}",,0,"{""_seconds"":1775589648,""_nanoseconds"":410202000}",meal_issuance,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589648,""_nanoseconds"":410202000}",0,1,Meal Issued,1,true,,single_user,true,false,ucvATmJ4286FCgLmvkss,normal,meal_issuance,transactional,true,Your lunch booking for 07-04-2026 has been issued.,Meal Issued,0,elbQwqG8283nYE8mItW7,,Meal Issued,0,completed,,,,,,,,,,,,
yP84LJD2IfYPpUga59Ol,Your dinner booking for 08-04-2026 has been cancelled.,JXpMNAEbyyPWTMxrAUiB,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,reservation_service,"{""_seconds"":1775644918,""_nanoseconds"":43973000}",meal_booking_cancelled,Meal Booking Cancelled,Your dinner booking for 08-04-2026 has been cancelled.,,"{""_seconds"":1775644918,""_nanoseconds"":43973000}",,0,"{""_seconds"":1775644918,""_nanoseconds"":43973000}",reservation,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775644918,""_nanoseconds"":43973000}",0,1,Meal Booking Cancelled,1,true,,single_user,true,false,yP84LJD2IfYPpUga59Ol,normal,reservation,transactional,true,Your dinner booking for 08-04-2026 has been cancelled.,Meal Booking Cancelled,0,JXpMNAEbyyPWTMxrAUiB,,Meal Booking Cancelled,0,completed,,,,,,,,,,,,
