docId,item_Id,name,food_type_code,food_type_name,is_active,estimated_price,base_unit,created_at,updated_at,is_visible,supports_feedback,supports_rate,sort_order,available_meal_types
ITEM110,ITEM110,Separate Tea,hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM111,ITEM111,Green Tea,hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM112,ITEM112,Qahva,hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM113,ITEM113,Black Coffee,hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM114,ITEM114,Cappucino,hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM115,ITEM115,Sweet  Lassi,cold_bevarage,Cold_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM116,ITEM116,Salted Lassi,cold_bevarage,Cold_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM117,ITEM117,Halwa Puri + Channay,bf_item,BF_Item,true,,single,,,true,true,true,1,[“breakfast”]
ITEM118,ITEM118,Chicken Almond & Egg Fried Rice,chinese,Chinese,true,430,single,,,true,true,true,1,[“cafe”]
ITEM119,ITEM119,Chicken Almond & Egg Fried Rice,chinese,Chinese,true,,full,,,true,true,true,1,[“cafe”]
ITEM120,ITEM120,Chicken Almond & Egg Fried Rice,chinese,Chinese,true,,half,,,true,true,true,1,[“cafe”]
ITEM121,ITEM121,Chicken Chili dry & Egg Fried Rice,chinese,Chinese,true,410,single,,,true,true,true,1,[“cafe”]
ITEM122,ITEM122,Chicken Chili dry & Egg Fried Rice,chinese,Chinese,true,,full,,,true,true,true,1,[“cafe”]
ITEM123,ITEM123,Chicken Chili dry & Egg Fried Rice,chinese,Chinese,true,,half,,,true,true,true,1,[“cafe”]
ITEM124,ITEM124,Chicken Kung Pao & Egg Fried Rice,chinese,Chinese,true,390,single,,,true,true,true,1,[“cafe”]
ITEM125,ITEM125,Chicken Kung Pao & Egg Fried Rice,chinese,Chinese,true,,full,,,true,true,true,1,[“cafe”]
ITEM126,ITEM126,Chicken Kung Pao & Egg Fried Rice,chinese,Chinese,true,,half,,,true,true,true,1,[“cafe”]
ITEM127,ITEM127,Chicken Manchurian & Egg Fried Rice,chinese,Chinese,true,370,single,,,true,true,true,1,[“cafe”]
ITEM128,ITEM128,Chicken Manchurian & Egg Fried Rice,chinese,Chinese,true,,full,,,true,true,true,1,[“cafe”]
ITEM129,ITEM129,Chicken Manchurian & Egg Fried Rice,chinese,Chinese,true,,half,,,true,true,true,1,[“cafe”]
ITEM130,ITEM130,Chicken Mushroom Oyster & Egg Fried Rice,chinese,Chinese,true,460,single,,,true,true,true,1,[“cafe”]
ITEM131,ITEM131,Chicken Mushroom Oyster & Egg Fried Rice,chinese,Chinese,true,,full,,,true,true,true,1,[“cafe”]
ITEM132,ITEM132,Chicken Mushroom Oyster & Egg Fried Rice,chinese,Chinese,true,,half,,,true,true,true,1,[“cafe”]
ITEM133,ITEM133,Chicken Sweet & Sour with Rice,chinese,Chinese,true,440,single,,,true,true,true,1,[“cafe”]
ITEM134,ITEM134,Chicken Sweet & Sour with Rice,chinese,Chinese,true,,full,,,true,true,true,1,[“cafe”]
ITEM135,ITEM135,Chicken Sweet & Sour with Rice,chinese,Chinese,true,,half,,,true,true,true,1,[“cafe”]
ITEM136,ITEM136,Chinyoti daal,desi,Desi,true,110,single,,,true,true,true,1,[“cafe”]
ITEM137,ITEM137,Chinyoti daal,desi,Desi,true,,full,,,true,true,true,1,[“cafe”]
ITEM138,ITEM138,Chinyoti daal,desi,Desi,true,,half,,,true,true,true,1,[“cafe”]
ITEM139,ITEM139,Saute Vegetables,desi,Desi,true,150,single,,,true,true,true,1,[“cafe”]
ITEM140,ITEM140,Saute Vegetables,desi,Desi,true,,full,,,true,true,true,1,[“cafe”]
ITEM141,ITEM141,Saute Vegetables,desi,Desi,true,,half,,,true,true,true,1,[“cafe”]
ITEM142,ITEM142,Shahi daal,desi,Desi,true,130,single,,,true,true,true,1,[“cafe”]
ITEM143,ITEM143,Shahi daal,desi,Desi,true,,full,,,true,true,true,1,[“cafe”]
ITEM144,ITEM144,Shahi daal,desi,Desi,true,,half,,,true,true,true,1,[“cafe”]
ITEM145,ITEM145,Beef Achari Karahi,desi,Desi,true,1950,single,,,true,true,true,1,[“cafe”]
ITEM146,ITEM146,Beef Achari Karahi,desi,Desi,true,975,full,,,true,true,true,1,[“cafe”]
ITEM147,ITEM147,Beef Achari Karahi,desi,Desi,true,590,half,,,true,true,true,1,[“cafe”]
ITEM148,ITEM148,Beef Balochi Karahi,desi,Desi,true,1850,single,,,true,true,true,1,[“cafe”]
ITEM149,ITEM149,Beef Balochi Karahi,desi,Desi,true,925,full,,,true,true,true,1,[“cafe”]
ITEM150,ITEM150,Beef Balochi Karahi,desi,Desi,true,560,half,,,true,true,true,1,[“cafe”]
ITEM151,ITEM151,Beef dum Qeema,desi,Desi,true,1900,single,,,true,true,true,1,[“cafe”]
ITEM152,ITEM152,Beef dum Qeema,desi,Desi,true,950,full,,,true,true,true,1,[“cafe”]
ITEM153,ITEM153,Beef dum Qeema,desi,Desi,true,570,half,,,true,true,true,1,[“cafe”]
ITEM154,ITEM154,Beef Kofta Curry,desi,Desi,true,1750,single,,,true,true,true,1,[“cafe”]
ITEM155,ITEM155,Beef Kofta Curry,desi,Desi,true,890,full,,,true,true,true,1,[“cafe”]
ITEM156,ITEM156,Beef Kofta Curry,desi,Desi,true,450,half,,,true,true,true,1,[“cafe”]
ITEM157,ITEM157,Beef Shinwari Karahi,desi,Desi,true,1950,single,,,true,true,true,1,[“cafe”]
ITEM158,ITEM158,Beef Shinwari Karahi,desi,Desi,true,975,full,,,true,true,true,1,[“cafe”]
ITEM159,ITEM159,Beef Shinwari Karahi,desi,Desi,true,585,half,,,true,true,true,1,[“cafe”]
ITEM160,ITEM160,Chicken Balochi Karahi,desi,Desi,true,950,single,,,true,true,true,1,[“cafe”]
ITEM161,ITEM161,Chicken Balochi Karahi,desi,Desi,true,495,full,,,true,true,true,1,[“cafe”]
ITEM162,ITEM162,Chicken Balochi Karahi,desi,Desi,true,320,half,,,true,true,true,1,[“cafe”]
ITEM163,ITEM163,Chicken Black Pepper Karahi,desi,Desi,true,990,single,,,true,true,true,1,[“cafe”]
ITEM164,ITEM164,Chicken Black Pepper Karahi,desi,Desi,true,495,full,,,true,true,true,1,[“cafe”]
ITEM165,ITEM165,Chicken Black Pepper Karahi,desi,Desi,true,320,half,,,true,true,true,1,[“cafe”]
ITEM166,ITEM166,Chicken Green Chilli Handi,desi,Desi,true,1130,single,,,true,true,true,1,[“cafe”]
ITEM167,ITEM167,Chicken Green Chilli Handi,desi,Desi,true,565,full,,,true,true,true,1,[“cafe”]
ITEM168,ITEM168,Chicken Green Chilli Handi,desi,Desi,true,360,half,,,true,true,true,1,[“cafe”]
ITEM169,ITEM169,Chicken Green Chilli Karahi,desi,Desi,true,1050,single,,,true,true,true,1,[“cafe”]
ITEM170,ITEM170,Chicken Green Chilli Karahi,desi,Desi,true,525,full,,,true,true,true,1,[“cafe”]
ITEM171,ITEM171,Chicken Green Chilli Karahi,desi,Desi,true,330,half,,,true,true,true,1,[“cafe”]
ITEM172,ITEM172,Chicken Kalonji Handi,desi,Desi,true,1130,single,,,true,true,true,1,[“cafe”]
ITEM173,ITEM173,Chicken Kalonji Handi,desi,Desi,true,565,full,,,true,true,true,1,[“cafe”]
ITEM174,ITEM174,Chicken Kalonji Handi,desi,Desi,true,360,half,,,true,true,true,1,[“cafe”]
ITEM175,ITEM175,Chicken Shajahani,desi,Desi,true,1190,single,,,true,true,true,1,[“cafe”]
ITEM176,ITEM176,Chicken Shajahani,desi,Desi,true,595,full,,,true,true,true,1,[“cafe”]
ITEM177,ITEM177,Chicken Shajahani,desi,Desi,true,380,half,,,true,true,true,1,[“cafe”]
ITEM178,ITEM178,Chicken Shinwari Karahi,desi,Desi,true,990,single,,,true,true,true,1,[“cafe”]
ITEM179,ITEM179,Chicken Shinwari Karahi,desi,Desi,true,495,full,,,true,true,true,1,[“cafe”]
ITEM180,ITEM180,Chicken Shinwari Karahi,desi,Desi,true,320,half,,,true,true,true,1,[“cafe”]
ITEM181,ITEM181,desi Murgh Curry,desi,Desi,true,2830,single,,,true,true,true,1,[“cafe”]
ITEM182,ITEM182,desi Murgh Curry,desi,Desi,true,1420,full,,,true,true,true,1,[“cafe”]
ITEM183,ITEM183,desi Murgh Curry,desi,Desi,true,860,half,,,true,true,true,1,[“cafe”]
ITEM184,ITEM184,Mutton Achari Karahi,desi,Desi,true,2475,single,,,true,true,true,1,[“cafe”]
ITEM185,ITEM185,Mutton Achari Karahi,desi,Desi,true,1240,full,,,true,true,true,1,[“cafe”]
ITEM186,ITEM186,Mutton Achari Karahi,desi,Desi,true,760,half,,,true,true,true,1,[“cafe”]
ITEM187,ITEM187,Mutton Afghani Karahi,desi,Desi,true,2550,single,,,true,true,true,1,[“cafe”]
ITEM188,ITEM188,Mutton Afghani Karahi,desi,Desi,true,1275,full,,,true,true,true,1,[“cafe”]
ITEM189,ITEM189,Mutton Afghani Karahi,desi,Desi,true,820,half,,,true,true,true,1,[“cafe”]
ITEM190,ITEM190,Mutton Balochi Karahi,desi,Desi,true,2375,single,,,true,true,true,1,[“cafe”]
ITEM191,ITEM191,Mutton Balochi Karahi,desi,Desi,true,1190,full,,,true,true,true,1,[“cafe”]
ITEM192,ITEM192,Mutton Balochi Karahi,desi,Desi,true,750,half,,,true,true,true,1,[“cafe”]
ITEM193,ITEM193,Mutton Black Pepper Karahi,desi,Desi,true,2375,single,,,true,true,true,1,[“cafe”]
ITEM194,ITEM194,Mutton Black Pepper Karahi,desi,Desi,true,1190,full,,,true,true,true,1,[“cafe”]
ITEM195,ITEM195,Mutton Black Pepper Karahi,desi,Desi,true,760,half,,,true,true,true,1,[“cafe”]
ITEM196,ITEM196,Mutton Green Chilli Karahi,desi,Desi,true,2475,single,,,true,true,true,1,[“cafe”]
